Village,filename
Atkawade,
Bhatwadi,Bhatwadi_TCA
Chandrapur,Chandrapur CP_TCA
Chondhi,
Dapur,Dapur_TCA
Datli,
Dattanagar,Dattanagar_TCA
Deopur,
Dharangaon,
Dhondbar,Dhondbar CP_TCA
Dhondvirnagar,Dhondvirnagar_TCA
Dubere,
Eklahare,Basic Info _ CP Data Eklahare_TCA
Fardapur,Basic Info _ CP Data Fardapur_TCA
Gonde,Gonde_TCA
Gulapur,
Gulvanch,Gulwanch_TCA
Gurewadi,Gurewadi CP_TCA
Harsule,Harsule_TCA
Jamgaon,Jamgaon CP_TCA
Jayprakashnagar,
Kedarpur,
Khadangali,Basic Info _ CP Data Khadangali_TCA
Khambale,Basic Info _ CP Data Khambale_TCA
Khaparale,
Khopadi Bk.,Basic Info _ CP Data Khopadi Budruk_TCA
Khopadi Kh.,Basic Info _ CP Data Khopadi Khurd_TCA
Kirtangali,
Konambe,
Krishnanagar,Krishnanagar CP_TCA
Kundewadi Majre,Kundewadi_TCA
Kundewadi Mauje,
Malegaon,
Manegaon,
Maparwadi,Maparwadi_TCA
Mendhi,Basic Info _ CP Data Mendi_TCA
Musalgaon,Musalgaon_TCA
Nimgaon Sinner,Basic Info _ CP Data Nimgaon_TCA
Panchale,Basic Info _ CP Data Panchale_TCA
Paste,Paste_TCA
Patole,
Pimpalgaon,Basic Info _ CP Data Pimpalgaon_TCA
Ramnagar,
Sangavi,Basic Info _ CP Data Sangvi_TCA
Saradwadi,
Shahapur,Basic Info _ CP Data Shahapur_TCA
Shastrinagar (Lonarwadi),Shastrinagar_TCA
Shivajinagar,
Somthane,Basic Info _ CP Data Somathane_TCA
Sonambe,Sonambe_TCA
Sonari,Sonari_TCA
Ujjani,
Vadangali,Basic Info _ CP Data Vadangali_TCA
Wadgaon Sinnar,Wadgaon Sinnar CP_TCA
