Sr.No,Village,Total Cultivable Area (2016-17),filename
,,,
1,Atkawade,140,Atkawade(1)
2,Bhatwadi,114,Bhatwadi
3,Chandrapur,1077,Chandrapur CP
4,Chondhi,229,
5,Dapur,360,Dapur
6,Datli,1320,Datli
7,Dattanagar,1195,Dattanagar
8,Deopur,380,
9,Dharangaon,1747,
10,Dhondbar,652.52,Dhondbar CP
11,Dhondvirnagar,749,Dhondvirnagar
12,Dubere,477,Dubere
13,Eklahare,659,Basic Info _ CP Data Eklahare
14,Fardapur,403.32,Basic Info _ CP Data Fardapur
15,Gonde,347,Gonde
16,Gulapur,591.32,
17,Gulvanch,1220,Gulwanch
18,Gurewadi,2875.9,Gurewadi CP
19,Harsule,153.83,Harsule
20,Jamgaon,351,Jamgaon CP
21,Jayprakashnagar,568,
22,Kedarpur,340,
23,Khadangali,259,Basic Info _ CP Data Khadangali
24,Khambale,466,Basic Info _ CP Data Khambale
25,Khaparale,1685.97,
26,Khopadi Bk.,296,Basic Info _ CP Data Khopadi Budruk
27,Khopadi Kh.,726.12,Basic Info _ CP Data Khopadi Khurd
28,Kirtangali,580.17,
29,Konambe,457.95,Konambe
30,Krishnanagar,1140,Krishnanagar CP
31,Kundewadi Majre,756,
32,Kundewadi Mauje,341,Kundewadi
33,Malegaon,61.7,Malegaon
34,Manegaon,248,Manegav
35,Maparwadi,620,Maparwadi
36,Mendhi,306,Basic Info _ CP Data Mendi
37,Musalgaon,585.02,Musalgaon
38,Nimgaon Sinner,1734.8,Basic Info _ CP Data Nimgaon.xlsx
39,Panchale,1371,Basic Info _ CP Data Panchale
40,Paste,870.87,Paste
41,Patole,650,
42,Pimpalgaon,727.61,Basic Info _ CP Data Pimpalgaon
43,Ramnagar,478,
44,Sangavi,1069.72,Basic Info _ CP Data Sangvi
45,Saradwadi,226,Shastrinagar
46,Shahapur,226.3,Basic Info _ CP Data Shahapur
47,Shastrinagar (Lonarwadi),283,
48,Shivajinagar,390,
49,Somthane,806.92,Basic Info _ CP Data Somathane
50,Sonambe,1060,Sonambe
51,Sonari,469,Sonari
52,Ujjani,956.39,
53,Vadangali,1182.89,Basic Info _ CP Data Vadangali
54,Wadgaon Sinnar,693,Wadgaon Sinnar CP
